1	2	3	4
7	9	17	19
7	10	13	16
7	10	16	19
7	10	19	22
7	10	22	25
7	11	15	19
7	11	19	23
7	11	23	27
7	11	27	31
7	12	17	22
7	12	22	27
7	12	27	32
7	13	19	25
7	13	25	31
7	14	21	28
7	15	23	31
8	9	10	11
8	9	11	12
8	9	12	13
8	9	13	14
8	10	12	14
8	10	14	16
8	10	16	18
8	10	18	20
8	11	14	17
8	11	17	20
8	11	20	23
8	11	23	26
8	12	16	20
8	12	20	24
8	12	24	28
8	12	28	32
8	13	18	23
8	13	23	28
8	14	20	26
8	14	26	32
8	15	22	29
8	16	24	32
9	10	11	12
9	10	12	13
9	10	13	14
9	10	14	15
9	11	13	15
9	11	15	17
9	11	17	19
9	11	19	21
9	12	15	18
9	12	18	21
9	12	21	24
9	12	24	27
9	13	17	21
9	13	21	25
9	13	25	29
9	14	19	24
9	14	24	29
9	15	21	27
9	16	23	30
10	11	12	13
10	11	13	14
10	11	14	15
10	11	15	16
10	12	14	16
10	12	16	18
10	12	18	20
10	12	20	22
10	13	16	19
10	13	19	22
10	13	22	25
10	13	25	28
10	14	18	22
10	14	22	26
10	14	26	30
10	15	20	25
10	15	25	30
10	16	22	28
10	17	24	31
11	12	13	14
11	12	14	15
11	12	15	16
11	12	16	17
11	13	15	17
11	13	17	19
11	13	19	21
11	13	21	23
11	14	17	20
11	14	20	23
11	14	23	26
11	14	26	29
11	15	19	23
11	15	23	27
11	15	27	31
11	16	21	26
11	16	26	31
11	17	23	29
11	18	25	32
12	13	14	15
12	13	15	16
12	13	16	17
12	13	17	18
12	14	16	18
12	14	18	20
12	14	20	22
12	14	22	24
12	15	18	21
12	15	21	24
12	15	24	27
12	15	27	30
12	16	20	24
12	16	24	28
12	16	28	32
12	17	22	27
12	17	27	32
12	18	24	30
13	14	15	16
13	14	16	17
13	14	17	18
13	14	18	19
13	15	17	19
13	15	19	21
13	15	21	23
13	15	23	25
13	16	19	22
13	16	22	25
13	16	25	28
13	16	28	31
13	17	21	25
13	17	25	29
13	18	23	28
13	19	25	31
14	15	16	17
14	15	17	18
14	15	18	19
14	15	19	20
14	16	18	20
14	16	20	22
14	16	22	24
14	16	24	26
14	17	20	23
14	17	23	26
14	17	26	29
14	17	29	32
14	18	22	26
14	18	26	30
14	19	24	29
14	20	26	32
15	16	17	18
15	16	18	19
15	16	19	20
15	16	20	21
15	17	19	21
15	17	21	23
15	17	23	25
15	17	25	27
15	18	21	24
15	18	24	27
15	18	27	30
15	19	23	27
15	19	27	31
15	20	25	30
16	17	18	19
16	17	19	20
16	17	20	21
16	17	21	22
16	18	20	22
16	18	22	24
16	18	24	26
16	18	26	28
16	19	22	25
16	19	25	28
16	19	28	31
16	20	24	28
16	20	28	32
16	21	26	31
17	18	19	20
17	18	20	21
17	18	21	22
17	18	22	23
17	19	21	23
17	19	23	25
17	19	25	27
17	19	27	29
17	20	23	26
17	20	26	29
17	20	29	32
17	21	25	29
17	22	27	32
18	19	20	21
18	19	21	22
18	19	22	23
18	19	23	24
18	20	22	24
18	20	24	26
18	20	26	28
18	20	28	30
18	21	24	27
18	21	27	30
18	22	26	30
19	20	21	22
19	20	22	23
19	20	23	24
19	20	24	25
19	21	23	25
19	21	25	27
19	21	27	29
19	21	29	31
19	22	25	28
19	22	28	31
19	23	27	31
20	21	22	23
20	21	23	24
20	21	24	25
20	21	25	26
20	22	24	26
20	22	26	28
20	22	28	30
20	22	30	32
20	23	26	29
20	23	29	32
20	24	28	32
21	22	23	24
21	22	24	25
21	22	25	26
21	22	26	27
21	23	25	27
21	23	27	29
21	23	29	31
21	24	27	30
22	23	24	25
22	23	25	26
22	23	26	27
22	23	27	28
22	24	26	28
22	24	28	30
22	24	30	32
22	25	28	31
23	24	25	26
23	24	26	27
23	24	27	28
23	24	28	29
23	25	27	29
23	25	29	31
23	26	29	32
24	25	26	27
24	25	27	28
24	25	28	29
24	25	29	30
24	26	28	30
24	26	30	32
25	26	27	28
25	26	28	29
25	26	29	30
25	26	30	31
25	27	29	31
26	27	28	29
26	27	29	30
26	27	30	31
26	27	31	32
26	28	30	32
27	28	29	30
27	28	30	31
27	28	31	32
28	29	30	31
28	29	31	32
29	30	31	32
